GEOID,tract_name,latitude,longitude,population,land_sq_miles,population_density,median_income,households,no_vehicle_households,no_vehicle_pct,transit_stops,transit_stops_per_sq_mile,economic_score,activity_score,mobility_need_score,transit_supply_score,mobility_score,mismatch_raw,mismatch_severity_raw,mismatch_score,distance_to_nrg_miles,nrg_proximity_score,fifa_relevance,legacy_priority,corridor_type,priority_reason
48201323701,Census Tract 3237.01; Harris County; Texas,29.657744918639214,-95.1787720971113,4269.0,0.8923623976405691,4783.930846130848,52310.0,1664.0,140.0,8.413461538461538,0,0.0,15.245624091520032,19.51687936445406,26.28487815596568,0.0,22.114536553210293,-2.5976571887562336,0.0,0.0,14.076501891809896,29.61749054095052,20.732243378665363,0.0,Lower Priority,Lower mismatch and/or FIFA relevance relative to other Harris County tracts.
48201241103,Census Tract 2411.03; Harris County; Texas,30.047708713922873,-95.37946622326625,5775.0,1.0741547379686944,5376.320371607679,90789.0,2093.0,73.0,3.487816531294792,0,0.0,39.623169609280104,22.169327169587362,10.896446383733066,0.0,26.73106608488008,-4.561738915292718,0.0,0.0,25.080458557030035,0.0,0.0,0.0,Lower Priority,Lower mismatch and/or FIFA relevance relative to other Harris County tracts.
48201450801,Census Tract 4508.01; Harris County; Texas,29.7601833177898,-95.56872220434528,2244.0,0.348762990994123,6434.168928313307,79193.0,1021.0,42.0,4.113614103819784,2,5.734553412043946,32.2767724101859,26.905886412660983,12.85152906509115,9.882397434112876,33.062219484351665,-6.156333071690682,0.0,0.0,10.8332922626798,45.833538686601,35.048196310854564,0.0,Lower Priority,Lower mismatch and/or FIFA relevance relative to other Harris County tracts.
48201454302,Census Tract 4543.02; Harris County; Texas,29.71492179652243,-95.67015058060645,5877.0,1.0619458016134236,5534.180737916212,73447.0,2114.0,35.0,1.6556291390728477,2,1.8833352860017738,28.636517295836526,22.87615327660803,5.172426354248686,3.2455653406015466,30.720167832146476,-7.844014555538447,0.0,0.0,15.745345980448521,21.27327009775739,15.864958670610637,0.0,Lower Priority,Lower mismatch and/or FIFA relevance relative to other Harris County tracts.
48201451902,Census Tract 4519.02; Harris County; Texas,29.722516200954814,-95.59870450607404,2520.0,0.7944712146701931,3171.921088476593,127014.0,893.0,12.0,1.3437849944008957,8,10.06959075706855,62.57274174943079,12.299041169050767,4.198179867367802,17.35299869231707,40.887645124411605,-28.58860395536084,0.0,0.0,11.604878070383167,41.975609648084166,34.58882636135404,0.0,Lower Priority,Lower mismatch and/or FIFA relevance relative to other Harris County tracts.
48201453403,Census Tract 4534.03; Harris County; Texas,29.669761163266042,-95.58513140111218,3977.0,0.26404986079695913,15061.549314953474,33510.0,1461.0,128.0,8.761122518822724,1,3.78716351897246,3.3352871354169804,65.53532732347743,27.37102164953281,6.526446325158497,26.357205932751103,39.17812139072633,39.17812139072633,86.34405584706558,10.545223025654781,47.27388487172609,35.04965330775581,30.263292226251547,High-Intensity / Mobility Gap,"High population density and mobility mismatch, combined with strong FIFA relevance."
48201453601,Census Tract 4536.01; Harris County; Texas,29.68223360586984,-95.591578011854,1596.0,0.46230791377828545,3452.2446024261935,57862.0,475.0,29.0,6.105263157894736,5,10.815302639179805,18.762974664939403,13.554200920068268,19.07373053074105,18.638089380440434,37.32454340708599,-23.77034248701772,0.0,0.0,10.88341369724558,45.58293151377211,37.4994788737726,0.0,Lower Priority,Lower mismatch and/or FIFA relevance relative to other Harris County tracts.
48201453501,Census Tract 4535.01; Harris County; Texas,29.664033168013766,-95.5899659544264,5876.0,0.5913509772063417,9936.569358115175,53196.0,2053.0,191.0,9.303458353628837,2,3.382086234892844,15.806930397004463,42.58802448768549,29.06535771707479,5.82837370726322,25.360254279961815,17.227770207723673,17.227770207723673,37.96801633495903,10.879653776346128,45.60173111826936,33.66972389496752,12.783726268376872,High-Intensity / Mobility Gap,"High population density and mobility mismatch, combined with strong FIFA relevance."
48201453502,Census Tract 4535.02; Harris County; Texas,29.671152544802922,-95.59823980579725,3616.0,0.5048880320266634,7161.98398580586,61264.0,1053.0,17.0,1.6144349477682813,4,7.92254865686489,20.918238831144855,30.164707456525974,5.043729706118283,13.65298548859972,38.043970930184315,-7.879263473658341,0.0,0.0,11.322061015380486,43.389694923097565,34.46868209274821,0.0,Lower Priority,Lower mismatch and/or FIFA relevance relative to other Harris County tracts.
48201553401,Census Tract 5534.01; Harris County; Texas,30.041159802425504,-95.44376650046938,4462.0,1.413349731371977,3157.0388425153733,112465.0,1427.0,36.0,2.522775052557814,0,0.0,53.355534708242324,12.232405317237696,7.8815163732854545,0.0,27.635545088014364,-15.403139770776669,0.0,0.0,24.639602145170397,0.0,0.0,0.0,Lower Priority,Lower mismatch and/or FIFA relevance relative to other Harris County tracts.
48201553801,Census Tract 5538.01; Harris County; Texas,30.041918877766047,-95.5055064856837,2642.0,1.4284528895076818,1849.5534710357642,129226.0,905.0,9.0,0.9944751381215469,0,0.0,63.974106927457385,6.378087246651496,3.106885045491255,0.0,29.067934486352623,-22.689847239701127,0.0,0.0,25.262125006443167,0.0,0.0,0.0,Lower Priority,Lower mismatch and/or FIFA relevance relative to other Harris County tracts.
48201553403,Census Tract 5534.03; Harris County; Texas,30.057675205657414,-95.463466943393,8462.0,2.5670824408292208,3296.349141505015,82903.0,2920.0,149.0,5.102739726027397,0,0.0,34.62716337333177,12.85617275554631,15.941701444416601,0.0,25.21748956667502,-12.36131681112871,0.0,0.0,25.89211585771361,0.0,0.0,0.0,Lower Priority,Lower mismatch and/or FIFA relevance relative to other Harris County tracts.
48201454502,Census Tract 4545.02; Harris County; Texas,29.741616932130242,-95.71581185148669,2216.0,2.901998650111536,763.6116577500234,192174.0,732.0,2.0,0.273224043715847,0,0.0,100.0,1.5157393230724514,0.8535916715754663,0.0,29.743922498527358,-28.228183175454905,0.0,0.0,18.765935150428973,6.17032424785513,4.319226973498591,0.0,Lower Priority,Lower mismatch and/or FIFA relevance relative to other Harris County tracts.
48201455102,Census Tract 4551.02; Harris County; Texas,29.766253140960057,-95.77123944013579,2886.0,0.6130456713926832,4707.642733116026,106012.0,840.0,5.0,0.5952380952380952,0,0.0,49.2673749009161,19.17529628571706,1.8596104273608371,0.0,29.442116871791747,-10.266820586074687,0.0,0.0,22.399402491187143,0.0,0.0,0.0,Lower Priority,Lower mismatch and/or FIFA relevance relative to other Harris County tracts.
48201511302,Census Tract 5113.02; Harris County; Texas,29.79739949164641,-95.39352379325149,4961.0,0.6133468310763462,8088.408953371571,170768.0,2373.0,190.0,8.006742520016855,27,44.020770356991015,90.29215042907616,34.31281232023439,25.01422875742011,75.86131242756072,75.59865007206646,-41.28583775183207,0.0,0.0,7.832935054656197,60.83532472671902,65.34312103697152,0.0,Established Urban Hub,High urban activity with comparatively balanced mobility capacity.
48201520601,Census Tract 5206.01; Harris County; Texas,29.816796062688336,-95.49267637523104,2658.0,0.7586320540078076,3503.674786687361,43147.0,935.0,174.0,18.609625668449198,15,19.772431076113776,9.440601882542785,13.78448162810633,58.13917862311443,34.073973698174186,36.410028001787595,-22.625546373681267,0.0,0.0,10.349937330776642,48.25031334611679,43.99741145173401,0.0,Lower Priority,Lower mismatch and/or FIFA relevance relative to other Harris County tracts.
48201554001,Census Tract 5540.01; Harris County; Texas,30.00991259507704,-95.52582848420029,3566.0,1.2924387516071416,2759.124945430254,76563.0,1294.0,139.0,10.741885625965997,0,0.0,30.610592293454463,10.450729920283456,33.559213832867286,0.0,19.932235850139815,-9.48150592985636,0.0,0.0,23.449799319066244,0.0,0.0,0.0,Lower Priority,Lower mismatch and/or FIFA relevance relative to other Harris County tracts.
48201212300,Census Tract 2123; Harris County; Texas,29.775201814979987,-95.35496488120447,4731.0,1.2623444049617094,3747.7886236153636,65176.0,1920.0,376.0,19.583333333333332,65,51.49149451173084,23.396602563712683,14.877511101308372,61.18118306017154,88.73566547878664,73.76061091709919,-58.883099815790814,0.0,0.0,7.078767128437264,64.60616435781368,71.84501469410557,0.0,Lower Priority,Lower mismatch and/or FIFA relevance relative to other Harris County tracts.
48201212400,Census Tract 2124; Harris County; Texas,29.78751157395172,-95.28462154567444,2871.0,3.136859959927003,915.2464683398905,42344.0,892.0,84.0,9.417040358744394,34,10.838864480514204,8.931878447662426,2.1946902552435645,29.420204429278172,18.6786936722859,34.24902424181668,-32.05433398657311,0.0,0.0,10.3747627061011,48.126186469494506,39.29193863033193,0.0,Lower Priority,Lower mismatch and/or FIFA relevance relative to other Harris County tracts.
48201250701,Census Tract 2507.01; Harris County; Texas,30.012364517474314,-95.22293223892783,7051.0,6.772754643157167,1041.0830410228957,130218.0,2255.0,48.0,2.12860310421286,0,0.0,64.60256726046028,2.758128544855235,6.650065847555561,0.0,28.00498024573333,-25.246851700878093,0.0,0.0,25.2340772385225,0.0,0.0,0.0,Lower Priority,Lower mismatch and/or FIFA relevance relative to other Harris County tracts.
48201250702,Census Tract 2507.02; Harris County; Texas,30.00326236633293,-95.17840124008607,4136.0,1.171562907138734,3530.3268606388406,111364.0,1574.0,52.0,3.303684879288437,0,0.0,52.6580197620365,13.903817355722289,10.321192308401697,0.0,26.90364230747949,-12.999824951757201,0.0,0.0,26.00600728988341,0.0,0.0,0.0,Lower Priority,Lower mismatch and/or FIFA relevance relative to other Harris County tracts.
