stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3570,3570,Griggs Rd @ Beekman Rd,GRIGGS RD & CAVANAUGH ST,29.696963,-95.334337,,,,,,0
3571,3571,Griggs Rd @ Beekman Rd,GRIGGS RD & BEEKMAN RD,29.696279,-95.332103,,,,,,0
3573,3573,Mykawa Rd @ Long Dr  Mb,MYKAWA RD & LONG DR,29.693718,-95.326621,,,,,,0
3574,3574,Mykawa Rd @ S Loop E,MYKAWA RD & S LOOP E,29.692362,-95.326233,,,,,,0
3575,3575,Mykawa Rd @ Long Dr,MYKAWA RD & LONG DR,29.69359,-95.326327,,,,,,0
3576,3576,Long Dr @ S Loop E,LONG DR & S LOOP E,29.693867,-95.324112,,,,,,0
3577,3577,S Loop E @ Mykawa Rd,S LOOP E & MYKAWA RD,29.69087,-95.328882,,,,,,0
3578,3578,Yellowstone Blvd @ Martin Luther Ki,YELLOWSTONE BLVD & MARTIN LUTHER KING BLVD,29.688667,-95.340817,,,,,,0
3579,3579,Yellowstone Blvd @ Milart St,YELLOWSTONE BLVD & MILART,29.68842,-95.343496,,,,,,0
3580,3580,Yellowstone Blvd @ Madrid St,YELLOWSTONE BLVD & MADRID ST,29.689502,-95.347398,,,,,,0
3581,3581,Yellowstone Blvd @ Liverpool St,YELLOWSTONE BLVD & LIVERPOOL ST,29.689986,-95.348962,,,,,,0
3582,3582,Yellowstone Blvd @ Paris St,YELLOWSTONE BLVD & PARIS ST,29.690461,-95.350443,,,,,,0
3583,3583,Yellowstone Blvd @ Cullen Blvd,YELLOWSTONE BLVD & CULLEN BLVD,29.691146,-95.352538,,,,,,0
3584,3584,Yellowstone Blvd @ Foster,YELLOWSTONE BLVD & FOSTER,29.69144,-95.35436,,,,,,0
3585,3585,Yellowstone Blvd @ Sidney St,YELLOWSTONE BLVD & SIDNEY ST,29.691932,-95.355959,,,,,,0
3586,3586,Yellowstone Blvd @ Conley St,YELLOWSTONE BLVD & CONLEY ST,29.692408,-95.35752,,,,,,0
3587,3587,Yellowstone Blvd @ Sherwood Dr,YELLOWSTONE BLVD & SHERWOOD DR,29.692918,-95.35919,,,,,,0
3588,3588,Yellowstone Blvd @ Scott St,YELLOWSTONE BLVD & SCOTT ST,29.693533,-95.361226,,,,,,0
3589,3589,Yellowstone Blvd @ La Salette St,YELLOWSTONE BLVD & LA SALETTE ST,29.694253,-95.363507,,,,,,0
3590,3590,Yellowstone Blvd @ Tierwester St,YELLOWSTONE BLVD & TIERWESTER ST,29.694944,-95.365828,,,,,,0
3591,3591,Yellowstone Blvd @ Stearns St,YELLOWSTONE BLVD & STEARNS ST,29.695967,-95.369238,,,,,,0
3592,3592,Yellowstone Blvd @ Burkett St,YELLOWSTONE BLVD & BURKETT ST,29.696445,-95.370812,,,,,,0
3593,3593,Yellowstone Blvd @ Allegheny St,YELLOWSTONE BLVD & ALLEGHENY ST,29.697342,-95.373765,,,,,,0
3594,3594,Yellowstone Blvd @ South Freeway,YELLOWSTONE BLVD & SOUTH FREEWAY,29.697793,-95.375075,,,,,,0
3595,3595,Yellowstone Blvd @ South Freeway,YELLOWSTONE BLVD & SOUTH FREEWAY,29.697547,-95.374958,,,,,,0
3596,3596,Yellowstone Blvd @ Peerless St,YELLOWSTONE BLVD & PEERLESS ST,29.696979,-95.373106,,,,,,0
3597,3597,Yellowstone Blvd @ Burkett St,YELLOWSTONE BLVD & BURKETT ST,29.696393,-95.371113,,,,,,0
3598,3598,Yellowstone Blvd @ Stearns St,YELLOWSTONE BLVD & STEARNS ST,29.695919,-95.369534,,,,,,0
3599,3599,Yellowstone Blvd @ Winton St,YELLOWSTONE BLVD & WINTON ST,29.69529,-95.367495,,,,,,0
3600,3600,Yellowstone Blvd @ La Salette St,YELLOWSTONE BLVD & LA SALETTE ST,29.694207,-95.363875,,,,,,0
3601,3601,Yellowstone Blvd @ Scott St,YELLOWSTONE BLVD & SCOTT ST,29.693291,-95.361019,,,,,,0
3602,3602,Yellowstone Blvd @ Sherwood Dr,YELLOWSTONE BLVD & SHERWOOD DR,29.692866,-95.359489,,,,,,0
3603,3603,Yellowstone Blvd @ Conley St,YELLOWSTONE BLVD & CONLEY ST,29.692365,-95.357827,,,,,,0
